mmsi,timestamp,latitude,longitude,sog,cog,vessel_name,vessel_type
419000111,2026-03-14T01:10:00Z,19.0480,71.6900,8.4,72,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T01:40:00Z,19.0550,71.7120,7.1,74,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T02:10:00Z,19.0610,71.7340,4.2,78,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T02:30:00Z,19.0640,71.7440,1.6,90,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T02:50:00Z,19.0655,71.7485,0.4,95,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T03:10:00Z,19.0660,71.7492,0.2,110,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T03:40:00Z,19.0664,71.7500,0.3,118,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T04:10:00Z,19.0678,71.7560,2.8,82,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T04:40:00Z,19.0720,71.7780,6.5,80,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T05:20:00Z,19.0780,71.8120,8.8,78,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T06:10:00Z,19.0860,71.8480,9.4,76,MT SYNTHETIC STAR,tanker
419000111,2026-03-14T07:00:00Z,19.0940,71.8860,9.7,75,MT SYNTHETIC STAR,tanker
419000222,2026-03-14T01:20:00Z,19.1400,71.6400,12.2,95,MV COASTAL PEARL,cargo
419000222,2026-03-14T02:20:00Z,19.1380,71.7100,12.0,96,MV COASTAL PEARL,cargo
419000222,2026-03-14T03:20:00Z,19.1360,71.7800,11.8,97,MV COASTAL PEARL,cargo
419000222,2026-03-14T04:20:00Z,19.1340,71.8500,11.9,98,MV COASTAL PEARL,cargo
419000222,2026-03-14T05:20:00Z,19.1320,71.9200,12.1,98,MV COASTAL PEARL,cargo
419000222,2026-03-14T06:20:00Z,19.1300,71.9900,12.0,99,MV COASTAL PEARL,cargo
419000333,2026-03-14T00:40:00Z,18.9800,71.8200,10.5,12,FV WESTERN NET,fishing
419000333,2026-03-14T02:00:00Z,19.0200,71.8300,9.8,14,FV WESTERN NET,fishing
419000333,2026-03-14T03:20:00Z,19.0550,71.8400,6.2,18,FV WESTERN NET,fishing
419000333,2026-03-14T04:40:00Z,19.0820,71.8480,5.4,22,FV WESTERN NET,fishing
419000333,2026-03-14T06:00:00Z,19.1100,71.8600,8.1,20,FV WESTERN NET,fishing
419000444,2026-03-14T02:00:00Z,19.2100,71.7000,14.5,180,MV NORTHBOUND,cargo
419000444,2026-03-14T03:00:00Z,19.1600,71.7020,14.6,182,MV NORTHBOUND,cargo
419000444,2026-03-14T04:00:00Z,19.1100,71.7050,14.4,181,MV NORTHBOUND,cargo
419000444,2026-03-14T05:00:00Z,19.0600,71.7080,14.7,183,MV NORTHBOUND,cargo
419000444,2026-03-14T06:00:00Z,19.0100,71.7100,14.5,180,MV NORTHBOUND,cargo
419000555,2026-03-13T22:00:00Z,19.3000,72.2000,16.0,270,MT FAR HORIZON,tanker
419000555,2026-03-14T00:00:00Z,19.3000,72.0800,16.2,270,MT FAR HORIZON,tanker
419000555,2026-03-14T02:00:00Z,19.3000,71.9600,16.1,271,MT FAR HORIZON,tanker
419000555,2026-03-14T04:00:00Z,19.3000,71.8400,16.0,269,MT FAR HORIZON,tanker
419000666,2026-03-14T01:00:00Z,19.0700,71.7600,3.1,85,MT GAP SIGNAL,tanker
419000666,2026-03-14T01:40:00Z,19.0720,71.7720,2.4,88,MT GAP SIGNAL,tanker
419000666,2026-03-14T05:50:00Z,19.0900,71.8600,8.8,80,MT GAP SIGNAL,tanker
419000666,2026-03-14T06:40:00Z,19.0980,71.9000,9.1,78,MT GAP SIGNAL,tanker
419000777,2026-03-14T03:00:00Z,18.9400,71.9000,7.2,310,SV LOCAL HARBOR,tug
419000777,2026-03-14T04:00:00Z,18.9600,71.8800,6.8,315,SV LOCAL HARBOR,tug
419000777,2026-03-14T05:00:00Z,18.9800,71.8600,6.5,318,SV LOCAL HARBOR,tug
419000777,2026-03-14T06:00:00Z,19.0000,71.8400,6.2,320,SV LOCAL HARBOR,tug
