mmsi,timestamp,latitude,longitude,sog,cog,vessel_name,vessel_type
419000111,2026-09-09T21:53:53Z,19.048,71.69,8.4,72.0,MT SYNTHETIC STAR,tanker
419000111,2026-09-09T22:53:53Z,19.056,71.715,8.4,72.0,MT SYNTHETIC STAR,tanker
419000111,2026-09-09T23:53:53Z,19.064,71.74,8.4,72.0,MT SYNTHETIC STAR,tanker
419000111,2026-09-10T00:53:53Z,19.072,71.765,8.4,72.0,MT SYNTHETIC STAR,tanker
419000111,2026-09-10T01:53:53Z,19.08,71.79,8.4,72.0,MT SYNTHETIC STAR,tanker
419000111,2026-09-10T02:53:53Z,19.088,71.815,8.4,72.0,MT SYNTHETIC STAR,tanker
419000111,2026-09-10T03:53:53Z,19.096,71.84,8.4,72.0,MT SYNTHETIC STAR,tanker
419000111,2026-09-10T04:53:53Z,19.104,71.865,8.4,72.0,MT SYNTHETIC STAR,tanker
419000222,2026-09-09T21:53:53Z,19.14,71.64,12.0,96.0,MV COASTAL PEARL,cargo
419000222,2026-09-09T22:53:53Z,19.148,71.665,12.0,96.0,MV COASTAL PEARL,cargo
419000222,2026-09-09T23:53:53Z,19.156,71.69,12.0,96.0,MV COASTAL PEARL,cargo
419000222,2026-09-10T00:53:53Z,19.164,71.715,12.0,96.0,MV COASTAL PEARL,cargo
419000222,2026-09-10T01:53:53Z,19.172,71.74,12.0,96.0,MV COASTAL PEARL,cargo
419000222,2026-09-10T02:53:53Z,19.18,71.765,12.0,96.0,MV COASTAL PEARL,cargo
419000222,2026-09-10T03:53:53Z,19.188,71.79,12.0,96.0,MV COASTAL PEARL,cargo
419000222,2026-09-10T04:53:53Z,19.196,71.815,12.0,96.0,MV COASTAL PEARL,cargo
419000333,2026-09-09T21:53:53Z,18.98,71.82,6.5,18.0,FV WESTERN NET,fishing
419000333,2026-09-09T22:53:53Z,18.988,71.845,6.5,18.0,FV WESTERN NET,fishing
419000333,2026-09-09T23:53:53Z,18.996,71.87,6.5,18.0,FV WESTERN NET,fishing
419000333,2026-09-10T00:53:53Z,19.004,71.895,6.5,18.0,FV WESTERN NET,fishing
419000333,2026-09-10T01:53:53Z,19.012,71.92,6.5,18.0,FV WESTERN NET,fishing
419000333,2026-09-10T02:53:53Z,19.02,71.945,6.5,18.0,FV WESTERN NET,fishing
419000333,2026-09-10T03:53:53Z,19.028,71.97,6.5,18.0,FV WESTERN NET,fishing
419000333,2026-09-10T04:53:53Z,19.036,71.995,6.5,18.0,FV WESTERN NET,fishing
419000444,2026-09-09T21:53:53Z,19.21,71.7,14.5,180.0,MV NORTHBOUND,cargo
419000444,2026-09-09T22:53:53Z,19.218,71.725,14.5,180.0,MV NORTHBOUND,cargo
419000444,2026-09-09T23:53:53Z,19.226,71.75,14.5,180.0,MV NORTHBOUND,cargo
419000444,2026-09-10T00:53:53Z,19.234,71.775,14.5,180.0,MV NORTHBOUND,cargo
419000444,2026-09-10T01:53:53Z,19.242,71.8,14.5,180.0,MV NORTHBOUND,cargo
419000444,2026-09-10T02:53:53Z,19.25,71.825,14.5,180.0,MV NORTHBOUND,cargo
419000444,2026-09-10T03:53:53Z,19.258,71.85,14.5,180.0,MV NORTHBOUND,cargo
419000444,2026-09-10T04:53:53Z,19.266,71.875,14.5,180.0,MV NORTHBOUND,cargo
419000555,2026-09-09T21:53:53Z,19.09,71.78,9.2,65.0,MT ARABIAN SHUTTLE,tanker
419000555,2026-09-09T22:53:53Z,19.098,71.805,9.2,65.0,MT ARABIAN SHUTTLE,tanker
419000555,2026-09-09T23:53:53Z,19.106,71.83,9.2,65.0,MT ARABIAN SHUTTLE,tanker
419000555,2026-09-10T00:53:53Z,19.114,71.855,9.2,65.0,MT ARABIAN SHUTTLE,tanker
419000555,2026-09-10T01:53:53Z,19.122,71.88,9.2,65.0,MT ARABIAN SHUTTLE,tanker
419000555,2026-09-10T02:53:53Z,19.13,71.905,9.2,65.0,MT ARABIAN SHUTTLE,tanker
419000555,2026-09-10T03:53:53Z,19.138,71.93,9.2,65.0,MT ARABIAN SHUTTLE,tanker
419000555,2026-09-10T04:53:53Z,19.146,71.955,9.2,65.0,MT ARABIAN SHUTTLE,tanker
