timestamp,latitude,longitude,wind_u,wind_v,current_u,current_v
2026-09-10T00:00:00Z,19.125,71.85,5.16,-0.82,0.515,-0.857
2026-09-10T01:00:00Z,19.125,71.85,5.71,-0.7,0.927,-0.375
2026-09-10T02:00:00Z,19.125,71.85,5.64,-1.1,1.287,0.181
2026-09-10T03:00:00Z,19.125,71.85,5.44,-1.77,1.4,0.538
2026-09-10T04:00:00Z,19.125,71.85,2.41,-0.88,1.4,0.538
2026-09-10T05:00:00Z,19.125,71.85,-1.65,2.87,1.046,0.34
2026-09-10T06:00:00Z,19.125,71.85,0.22,2.05,0.7,0.0
2026-09-10T07:00:00Z,19.125,71.85,1.75,0.31,0.185,-0.571
2026-09-10T08:00:00Z,19.125,71.85,0.75,0.2,-0.181,-1.287
2026-09-10T09:00:00Z,19.125,71.85,0.6,0.1,-0.525,-1.617
2026-09-10T10:00:00Z,19.125,71.85,2.25,0.0,-0.544,-2.028
2026-09-10T11:00:00Z,19.125,71.85,3.55,-0.5,-0.343,-1.767
2026-09-10T12:00:00Z,19.125,71.85,3.56,0.19,0.0,-1.4
2026-09-10T13:00:00Z,19.125,71.85,3.71,0.26,0.363,-0.713
2026-09-10T14:00:00Z,19.125,71.85,4.14,-0.14,0.883,-0.172
2026-09-10T15:00:00Z,19.125,71.85,5.05,-2.25,1.25,0.358
2026-09-10T16:00:00Z,19.125,71.85,4.74,-2.74,1.289,0.547
2026-09-10T17:00:00Z,19.125,71.85,4.14,-2.69,1.069,0.545
2026-09-10T18:00:00Z,19.125,71.85,3.88,-2.33,0.713,0.363
2026-09-10T19:00:00Z,19.125,71.85,4.4,-2.14,0.4,0.0
2026-09-10T20:00:00Z,19.125,71.85,4.53,-1.83,0.0,-0.5
2026-09-10T21:00:00Z,19.125,71.85,4.54,-1.74,-0.34,-1.046
2026-09-10T22:00:00Z,19.125,71.85,4.35,-1.76,-0.358,-1.25
2026-09-10T23:00:00Z,19.125,71.85,4.09,-1.73,-0.181,-1.287
2026-09-11T00:00:00Z,19.125,71.85,3.97,-1.94,0.172,-1.086
2026-09-11T01:00:00Z,19.125,71.85,3.61,-2.09,0.719,-0.542
2026-09-11T02:00:00Z,19.125,71.85,3.3,-2.4,1.3,0.0
2026-09-11T03:00:00Z,19.125,71.85,3.22,-2.43,1.656,0.382
2026-09-11T04:00:00Z,19.125,71.85,3.02,-2.53,1.644,0.732
2026-09-11T05:00:00Z,19.125,71.85,2.97,-2.58,1.617,0.525
2026-09-11T06:00:00Z,19.125,71.85,2.9,-2.43,1.25,0.358
2026-09-11T07:00:00Z,19.125,71.85,3.21,-2.25,0.883,-0.172
2026-09-11T08:00:00Z,19.125,71.85,3.75,-2.17,0.375,-0.927
2026-09-11T09:00:00Z,19.125,71.85,4.21,-2.33,0.0,-1.4
2026-09-11T10:00:00Z,19.125,71.85,4.68,-2.38,-0.174,-1.992
2026-09-11T11:00:00Z,19.125,71.85,4.9,-1.88,-0.174,-1.992
2026-09-11T12:00:00Z,19.125,71.85,5.14,-1.77,0.0,-1.8
2026-09-11T13:00:00Z,19.125,71.85,5.42,-1.66,0.358,-1.25
2026-09-11T14:00:00Z,19.125,71.85,5.05,-2.25,0.933,-0.755
2026-09-11T15:00:00Z,19.125,71.85,4.47,-2.48,1.287,-0.181
2026-09-11T16:00:00Z,19.125,71.85,4.59,-2.24,1.489,0.183
2026-09-11T17:00:00Z,19.125,71.85,4.61,-1.77,1.455,0.363
2026-09-11T18:00:00Z,19.125,71.85,4.8,-2.14,1.086,0.172
2026-09-11T19:00:00Z,19.125,71.85,5.0,-2.44,0.7,0.0
2026-09-11T20:00:00Z,19.125,71.85,5.11,-1.96,0.185,-0.571
2026-09-11T21:00:00Z,19.125,71.85,4.9,-2.18,-0.34,-1.046
2026-09-11T22:00:00Z,19.125,71.85,4.93,-2.62,-0.538,-1.4
2026-09-11T23:00:00Z,19.125,71.85,5.31,-2.36,-0.525,-1.617
2026-09-12T00:00:00Z,19.125,71.85,5.16,-2.4,-0.363,-1.455
2026-09-12T01:00:00Z,19.125,71.85,4.83,-2.79,0.172,-1.086
2026-09-12T02:00:00Z,19.125,71.85,4.84,-2.68,0.713,-0.363
2026-09-12T03:00:00Z,19.125,71.85,5.24,-2.56,1.086,0.172
2026-09-12T04:00:00Z,19.125,71.85,4.42,-2.98,1.4,0.538
2026-09-12T05:00:00Z,19.125,71.85,4.13,-3.11,1.426,0.726
2026-09-12T06:00:00Z,19.125,71.85,3.96,-2.02,1.289,0.547
2026-09-12T07:00:00Z,19.125,71.85,4.49,-2.19,0.883,0.172
2026-09-12T08:00:00Z,19.125,71.85,5.33,-2.37,0.497,-0.336
2026-09-12T09:00:00Z,19.125,71.85,6.07,-2.7,0.0,-0.9
2026-09-12T10:00:00Z,19.125,71.85,6.51,-2.24,-0.183,-1.489
2026-09-12T11:00:00Z,19.125,71.85,6.7,-1.92,-0.343,-1.767
2026-09-12T12:00:00Z,19.125,71.85,6.9,-1.59,-0.188,-1.79
2026-09-12T13:00:00Z,19.125,71.85,7.03,-1.75,0.363,-1.455
2026-09-12T14:00:00Z,19.125,71.85,6.69,-2.17,0.755,-0.933
2026-09-12T15:00:00Z,19.125,71.85,6.33,-2.18,1.287,-0.181
2026-09-12T16:00:00Z,19.125,71.85,5.91,-2.03,1.591,0.167
2026-09-12T17:00:00Z,19.125,71.85,6.05,-1.85,1.817,0.556
2026-09-12T18:00:00Z,19.125,71.85,6.44,-1.61,1.617,0.525
2026-09-12T19:00:00Z,19.125,71.85,6.56,-1.04,1.25,0.358
2026-09-12T20:00:00Z,19.125,71.85,6.74,-0.71,0.883,-0.172
2026-09-12T21:00:00Z,19.125,71.85,6.75,-1.07,0.363,-0.713
2026-09-12T22:00:00Z,19.125,71.85,6.68,-1.42,0.0,-1.1
2026-09-12T23:00:00Z,19.125,71.85,6.54,-1.39,-0.183,-1.489
2026-09-13T00:00:00Z,19.125,71.85,6.65,-1.54,0.0,-1.6
2026-09-13T01:00:00Z,19.125,71.85,6.66,-1.66,0.183,-1.489
2026-09-13T02:00:00Z,19.125,71.85,6.94,-1.99,0.727,-1.078
2026-09-13T03:00:00Z,19.125,71.85,7.2,-1.8,1.069,-0.545
2026-09-13T04:00:00Z,19.125,71.85,7.09,-1.64,1.4,0.0
2026-09-13T05:00:00Z,19.125,71.85,7.14,-1.65,1.591,0.167
2026-09-13T06:00:00Z,19.125,71.85,7.22,-1.93,1.455,0.363
2026-09-13T07:00:00Z,19.125,71.85,7.2,-2.2,1.086,0.172
2026-09-13T08:00:00Z,19.125,71.85,7.13,-2.32,0.679,-0.169
2026-09-13T09:00:00Z,19.125,71.85,7.36,-2.53,0.169,-0.679
2026-09-13T10:00:00Z,19.125,71.85,7.73,-2.36,-0.181,-1.287
2026-09-13T11:00:00Z,19.125,71.85,7.66,-2.2,-0.382,-1.656
2026-09-13T12:00:00Z,19.125,71.85,7.51,-2.15,-0.382,-1.656
2026-09-13T13:00:00Z,19.125,71.85,7.17,-2.19,-0.183,-1.489
2026-09-13T14:00:00Z,19.125,71.85,6.72,-2.31,0.172,-1.086
2026-09-13T15:00:00Z,19.125,71.85,6.29,-2.29,0.719,-0.542
2026-09-13T16:00:00Z,19.125,71.85,6.08,-1.74,1.086,0.172
2026-09-13T17:00:00Z,19.125,71.85,5.99,-0.95,1.4,0.538
2026-09-13T18:00:00Z,19.125,71.85,6.0,-0.21,1.426,0.726
2026-09-13T19:00:00Z,19.125,71.85,6.11,0.11,1.299,0.75
2026-09-13T20:00:00Z,19.125,71.85,6.3,0.33,0.857,0.515
2026-09-13T21:00:00Z,19.125,71.85,6.51,0.46,0.571,0.185
2026-09-13T22:00:00Z,19.125,71.85,6.69,0.59,0.212,-0.212
2026-09-13T23:00:00Z,19.125,71.85,6.94,0.61,0.0,-0.5
2026-09-14T00:00:00Z,19.125,71.85,7.12,0.87,0.0,-0.9
2026-09-14T01:00:00Z,19.125,71.85,7.2,2.2,0.169,-0.679
2026-09-14T02:00:00Z,19.125,71.85,7.21,3.84,0.566,-0.566
2026-09-14T03:00:00Z,19.125,71.85,7.25,4.71,0.9,0.0
2026-09-14T04:00:00Z,19.125,71.85,7.29,4.04,1.455,0.363
2026-09-14T05:00:00Z,19.125,71.85,7.27,2.5,1.644,0.732
2026-09-14T06:00:00Z,19.125,71.85,7.33,1.43,1.782,0.908
2026-09-14T07:00:00Z,19.125,71.85,7.42,1.31,1.662,0.921
2026-09-14T08:00:00Z,19.125,71.85,7.44,1.72,1.299,0.75
2026-09-14T09:00:00Z,19.125,71.85,7.45,2.14,0.883,0.172
2026-09-14T10:00:00Z,19.125,71.85,7.33,2.24,0.571,-0.185
2026-09-14T11:00:00Z,19.125,71.85,7.25,2.22,0.336,-0.497
2026-09-14T12:00:00Z,19.125,71.85,7.08,2.3,0.172,-0.883
2026-09-14T13:00:00Z,19.125,71.85,6.74,2.59,0.375,-0.927
2026-09-14T14:00:00Z,19.125,71.85,6.34,2.82,0.542,-0.719
2026-09-14T15:00:00Z,19.125,71.85,6.08,3.23,0.927,-0.375
2026-09-14T16:00:00Z,19.125,71.85,6.03,3.77,1.287,0.181
2026-09-14T17:00:00Z,19.125,71.85,6.12,4.44,1.4,0.538
2026-09-14T18:00:00Z,19.125,71.85,6.17,5.0,1.426,0.726
2026-09-14T19:00:00Z,19.125,71.85,6.11,5.5,1.442,0.901
2026-09-14T20:00:00Z,19.125,71.85,6.04,5.83,1.072,0.9
2026-09-14T21:00:00Z,19.125,71.85,5.93,6.14,0.719,0.542
2026-09-14T22:00:00Z,19.125,71.85,5.84,6.26,0.356,0.182
2026-09-14T23:00:00Z,19.125,71.85,5.69,6.32,0.0,-0.2
2026-09-15T00:00:00Z,19.125,71.85,5.43,6.47,-0.185,-0.571
2026-09-15T01:00:00Z,19.125,71.85,5.12,6.79,-0.185,-0.571
2026-09-15T02:00:00Z,19.125,71.85,4.83,7.16,0.0,-0.5
2026-09-15T03:00:00Z,19.125,71.85,4.59,7.35,0.356,-0.182
2026-09-15T04:00:00Z,19.125,71.85,4.72,7.0,0.497,0.336
2026-09-15T05:00:00Z,19.125,71.85,4.92,6.52,0.933,0.755
2026-09-15T06:00:00Z,19.125,71.85,5.05,6.24,1.072,0.9
2026-09-15T07:00:00Z,19.125,71.85,5.15,6.36,1.061,1.061
2026-09-15T08:00:00Z,19.125,71.85,5.28,6.76,0.9,1.072
2026-09-15T09:00:00Z,19.125,71.85,5.27,6.99,0.707,0.707
2026-09-15T10:00:00Z,19.125,71.85,4.92,7.03,0.566,0.566
2026-09-15T11:00:00Z,19.125,71.85,4.51,6.94,0.356,0.182
2026-09-15T12:00:00Z,19.125,71.85,4.36,6.71,0.212,-0.212
2026-09-15T13:00:00Z,19.125,71.85,4.66,6.41,0.354,-0.354
2026-09-15T14:00:00Z,19.125,71.85,5.1,6.08,0.497,-0.336
2026-09-15T15:00:00Z,19.125,71.85,5.44,5.83,0.679,-0.169
2026-09-15T16:00:00Z,19.125,71.85,5.31,5.69,1.086,0.172
2026-09-15T17:00:00Z,19.125,71.85,4.86,5.79,1.4,0.538
2026-09-15T18:00:00Z,19.125,71.85,4.63,5.72,1.644,0.732
2026-09-15T19:00:00Z,19.125,71.85,4.1,6.32,1.662,0.921
2026-09-15T20:00:00Z,19.125,71.85,3.9,6.5,1.442,0.901
2026-09-15T21:00:00Z,19.125,71.85,3.73,6.73,1.078,0.727
2026-09-15T22:00:00Z,19.125,71.85,3.55,6.98,0.713,0.363
2026-09-15T23:00:00Z,19.125,71.85,3.35,7.18,0.4,0.0
2026-09-16T00:00:00Z,19.125,71.85,3.36,7.2,0.185,-0.571
2026-09-16T01:00:00Z,19.125,71.85,3.45,7.06,0.169,-0.679
2026-09-16T02:00:00Z,19.125,71.85,3.49,6.85,0.169,-0.679
2026-09-16T03:00:00Z,19.125,71.85,3.64,6.56,0.363,-0.713
2026-09-16T04:00:00Z,19.125,71.85,3.87,6.2,0.566,-0.566
2026-09-16T05:00:00Z,19.125,71.85,4.1,5.85,0.679,-0.169
2026-09-16T06:00:00Z,19.125,71.85,4.35,5.56,0.9,0.0
2026-09-16T07:00:00Z,19.125,71.85,4.72,5.25,0.883,0.172
2026-09-16T08:00:00Z,19.125,71.85,5.22,4.87,0.883,0.172
2026-09-16T09:00:00Z,19.125,71.85,5.68,4.6,0.7,0.0
2026-09-16T10:00:00Z,19.125,71.85,6.12,4.28,0.356,-0.182
2026-09-16T11:00:00Z,19.125,71.85,6.52,3.92,0.182,-0.356
2026-09-16T12:00:00Z,19.125,71.85,6.66,3.85,0.0,-0.7
2026-09-16T13:00:00Z,19.125,71.85,6.68,3.7,-0.169,-0.679
2026-09-16T14:00:00Z,19.125,71.85,6.31,3.79,0.0,-0.7
2026-09-16T15:00:00Z,19.125,71.85,5.99,3.89,0.185,-0.571
2026-09-16T16:00:00Z,19.125,71.85,5.62,3.93,0.354,-0.354
2026-09-16T17:00:00Z,19.125,71.85,5.26,4.11,0.7,0.0
